customer_id,gender,senior_citizen,partner,dependents,tenure,contract,internet_service,tech_support,online_security,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn
CUST-00043,Female,0,Yes,Yes,25,Month-to-month,No,No,No,No,Mailed check,73.79,1760.02,2,1
CUST-00044,Female,1,No,Yes,4,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,43.16,191.92,4,1
CUST-00045,Female,0,No,No,70,Month-to-month,DSL,No,Yes,No,Electronic check,63.21,3979.68,0,1
CUST-00046,Female,0,No,Yes,32,Two year,Fiber optic,No,No,No,Mailed check,51.28,1641.84,1,1
CUST-00047,Female,0,Yes,No,65,Month-to-month,DSL,No internet service,No,Yes,Credit card,73.72,4339.65,1,0
CUST-00048,Female,0,No,No,49,Month-to-month,DSL,No,No,Yes,Bank transfer,112.19,4772.9,1,0
CUST-00049,Male,0,Yes,No,56,Month-to-month,DSL,Yes,No,Yes,Bank transfer,55.73,2709.39,4,1
CUST-00050,Male,0,Yes,Yes,55,Month-to-month,No,No internet service,Yes,Yes,Electronic check,78.34,4372.83,1,1
CUST-00051,Male,0,Yes,No,14,Month-to-month,Fiber optic,No internet service,No,No,Credit card,65.61,919.17,2,1
CUST-00052,Female,0,Yes,No,26,One year,DSL,Yes,No,No,Credit card,65.6,1635.44,0,0
CUST-00053,Female,0,No,Yes,34,Two year,DSL,No internet service,No internet service,Yes,Mailed check,60.87,2104.21,1,1
CUST-00054,Male,0,Yes,No,36,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,43.56,1454.99,0,0
CUST-00055,Female,0,No,Yes,3,One year,No,No,No,No,Bank transfer,73.38,284.49,1,0
CUST-00056,Female,0,No,No,39,Month-to-month,DSL,No,No internet service,Yes,Mailed check,57.78,2214.76,2,1
CUST-00057,Male,0,No,No,11,Month-to-month,DSL,Yes,No,Yes,Mailed check,42.38,468.67,2,1
CUST-00058,Female,0,No,No,54,Month-to-month,No,No,No,Yes,Bank transfer,90.35,4801.26,2,1
CUST-00059,Female,0,Yes,No,49,Month-to-month,No,No,No,No,Mailed check,67.48,3356.68,1,0
CUST-00060,Female,0,No,No,67,One year,No,No internet service,No internet service,No,Bank transfer,59.3,3548.88,0,0
CUST-00061,Male,0,Yes,Yes,54,One year,DSL,Yes,No,No,Electronic check,98.5,4619.1,1,1
CUST-00062,Female,0,No,No,26,One year,DSL,No,Yes,No,Mailed check,19.1,501.89,2,0
CUST-00063,Male,0,No,No,70,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,96.82,6259.24,3,1
CUST-00064,Male,0,No,No,29,One year,DSL,No,Yes,Yes,Credit card,43.0,1201.84,1,0
CUST-00065,Female,0,Yes,No,23,Month-to-month,No,No,Yes,No,Mailed check,70.29,1490.21,2,0
CUST-00066,Male,0,Yes,No,66,Month-to-month,DSL,No,No,No,Bank transfer,50.3,3290.12,1,0
CUST-00067,Male,0,No,No,27,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,41.92,1124.67,2,1
CUST-00068,Female,0,No,Yes,5,One year,No,No,No,Yes,Credit card,97.85,582.99,2,1
CUST-00069,Male,0,No,No,34,Two year,No,No,No,No,Mailed check,111.41,3592.42,2,0
CUST-00070,Male,0,Yes,Yes,58,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,59.47,3496.4,0,0
CUST-00071,Female,1,Yes,No,13,One year,No,No,Yes,Yes,Mailed check,73.39,952.07,3,1
CUST-00072,Female,0,No,No,33,One year,DSL,No,No,Yes,Mailed check,66.42,2130.04,3,1
CUST-00073,Male,0,Yes,No,9,Two year,Fiber optic,No,Yes,Yes,Bank transfer,108.26,1029.68,0,0
CUST-00074,Male,1,No,No,50,Month-to-month,DSL,No,No internet service,No,Bank transfer,18.0,847.74,1,0
CUST-00075,Female,0,Yes,No,34,One year,No,Yes,No,No,Bank transfer,74.43,2434.2,2,0
CUST-00076,Male,0,No,No,24,One year,No,Yes,Yes,Yes,Credit card,46.82,1034.13,1,0
CUST-00077,Male,0,Yes,No,16,Two year,DSL,No,Yes,Yes,Bank transfer,18.0,276.73,0,0
CUST-00078,Male,0,Yes,Yes,41,Month-to-month,DSL,No,No,Yes,Credit card,55.99,2246.46,1,0
CUST-00079,Female,0,Yes,No,48,Two year,Fiber optic,No,No,Yes,Mailed check,111.2,4663.35,1,0
CUST-00080,Male,1,No,No,68,Month-to-month,DSL,No internet service,No internet service,Yes,Bank transfer,48.6,3202.7,0,1
CUST-00081,Male,0,No,No,31,Two year,No,No,Yes,Yes,Mailed check,84.77,2429.35,0,0
CUST-00082,Female,0,No,Yes,11,Month-to-month,DSL,No,Yes,No,Bank transfer,94.97,1015.16,0,0
CUST-00083,Female,1,No,Yes,60,Month-to-month,Fiber optic,No,No,No,Electronic check,64.68,3764.08,3,0
CUST-00084,Male,0,Yes,Yes,45,Month-to-month,Fiber optic,No,No,Yes,Credit card,68.01,2760.06,4,1
CUST-00085,Male,1,No,No,51,Month-to-month,Fiber optic,No,No,No,Bank transfer,22.09,1142.08,1,1
CUST-00086,Female,0,Yes,No,7,Month-to-month,DSL,No,No internet service,No,Bank transfer,47.1,376.27,2,1
CUST-00087,Female,0,Yes,Yes,22,Month-to-month,No,No,No,Yes,Credit card,87.68,1852.72,1,0
CUST-00088,Male,0,Yes,No,56,Month-to-month,Fiber optic,No internet service,No,No,Mailed check,66.52,3451.2,2,0
CUST-00089,Female,0,No,Yes,60,Month-to-month,Fiber optic,No,No internet service,Yes,Mailed check,74.18,3899.88,2,1
CUST-00090,Male,1,No,No,31,One year,Fiber optic,Yes,Yes,Yes,Bank transfer,68.33,2113.82,3,1
CUST-00091,Male,0,Yes,No,58,Two year,No,No,Yes,Yes,Credit card,119.8,6180.49,0,0
CUST-00092,Female,0,No,Yes,61,One year,No,No internet service,Yes,Yes,Mailed check,54.24,3329.11,0,0
CUST-00093,Female,1,No,Yes,28,Month-to-month,No,Yes,Yes,No,Electronic check,105.14,3044.76,3,1
CUST-00094,Female,0,No,No,65,Month-to-month,Fiber optic,No internet service,No,No,Electronic check,68.34,3916.69,0,0
CUST-00095,Male,1,No,No,21,Two year,No,No internet service,No internet service,Yes,Bank transfer,107.35,2249.4,0,1
CUST-00096,Male,0,Yes,No,17,Month-to-month,DSL,No,No internet service,Yes,Electronic check,34.38,569.27,2,1
CUST-00097,Male,0,Yes,No,49,Month-to-month,Fiber optic,No,No,No,Bank transfer,69.62,3241.41,1,0
CUST-00098,Female,0,No,No,46,Two year,Fiber optic,Yes,No internet service,No,Credit card,55.16,2273.47,1,0
CUST-00099,Male,0,Yes,No,10,Two year,Fiber optic,Yes,No,No,Bank transfer,68.49,722.15,1,1
CUST-00100,Female,0,No,No,60,Month-to-month,No,No,No,Yes,Electronic check,95.56,5100.47,0,1
CUST-00101,Female,0,No,Yes,14,One year,No,No,Yes,Yes,Bank transfer,74.47,1097.83,0,0
CUST-00102,Female,0,No,No,58,Month-to-month,Fiber optic,No internet service,No,Yes,Mailed check,95.51,5173.55,0,0
CUST-00103,Male,0,No,No,0,One year,Fiber optic,Yes,No,No,Electronic check,48.24,45.6,3,0
CUST-00104,Female,0,Yes,Yes,58,Month-to-month,No,No,Yes,No,Electronic check,44.43,2590.62,3,1
CUST-00105,Female,0,Yes,No,57,Month-to-month,No,No,No internet service,No,Bank transfer,65.4,3644.09,1,0
CUST-00106,Female,0,Yes,No,56,One year,Fiber optic,No,Yes,Yes,Bank transfer,64.03,3398.34,2,1
CUST-00107,Female,0,Yes,No,48,Month-to-month,DSL,No,No,No,Mailed check,60.35,2692.19,0,0
CUST-00108,Male,0,Yes,No,34,One year,DSL,No internet service,Yes,No,Credit card,41.03,1320.19,2,0
CUST-00109,Male,0,Yes,No,51,Month-to-month,No,No,No,No,Bank transfer,94.97,4450.77,3,0
CUST-00110,Male,1,Yes,Yes,20,Two year,Fiber optic,Yes,No,No,Credit card,55.93,1165.05,2,0
CUST-00111,Male,1,Yes,No,56,Two year,Fiber optic,No,Yes,Yes,Electronic check,100.65,5094.09,3,0
CUST-00112,Male,0,No,No,40,Month-to-month,Fiber optic,Yes,Yes,Yes,Mailed check,65.32,2440.84,3,1
CUST-00113,Female,0,Yes,No,33,One year,Fiber optic,No internet service,No,Yes,Electronic check,81.21,2669.29,1,0
CUST-00114,Female,0,Yes,Yes,36,Month-to-month,Fiber optic,No internet service,No,Yes,Mailed check,78.94,2642.29,1,0
CUST-00115,Male,1,No,No,41,Month-to-month,No,Yes,No,Yes,Credit card,44.39,1832.67,0,0
CUST-00116,Male,0,Yes,No,2,Month-to-month,DSL,No,No,No,Mailed check,74.18,197.27,0,0
CUST-00117,Male,0,No,No,10,Two year,Fiber optic,No,Yes,Yes,Mailed check,113.21,1064.37,3,1
CUST-00118,Male,0,No,Yes,17,Two year,Fiber optic,No,Yes,Yes,Electronic check,71.29,1211.76,0,0
CUST-00119,Male,0,No,No,8,Two year,No,No,No internet service,Yes,Mailed check,87.53,729.66,1,0
CUST-00120,Female,0,Yes,Yes,32,Two year,DSL,No internet service,Yes,No,Electronic check,82.33,2689.61,2,0
CUST-00121,Male,0,Yes,No,48,Two year,Fiber optic,Yes,No,No,Electronic check,72.68,3253.16,2,0
CUST-00122,Female,1,No,No,47,Month-to-month,DSL,No,No,Yes,Electronic check,69.66,2910.13,1,1
CUST-00123,Female,0,No,No,34,Two year,DSL,Yes,No internet service,No,Bank transfer,78.68,2476.94,0,0
CUST-00124,Male,1,No,No,62,One year,Fiber optic,No,Yes,No,Bank transfer,84.08,4814.91,2,0
CUST-00125,Male,0,Yes,No,41,Month-to-month,DSL,No internet service,No,No,Bank transfer,31.2,1228.46,2,0
CUST-00126,Male,0,Yes,Yes,5,One year,No,No,No,No,Electronic check,71.18,380.6,1,0
CUST-00127,Female,1,No,No,55,Month-to-month,No,No,Yes,No,Credit card,60.4,3154.25,4,1
CUST-00128,Female,0,Yes,No,41,Month-to-month,DSL,Yes,Yes,No,Bank transfer,55.21,2286.84,1,0
CUST-00129,Female,0,No,No,46,Month-to-month,No,No internet service,No internet service,Yes,Bank transfer,97.4,4182.09,2,0
CUST-00130,Male,0,No,No,41,Month-to-month,Fiber optic,Yes,No,No,Credit card,46.67,1857.69,2,0
CUST-00131,Female,0,Yes,No,40,Month-to-month,Fiber optic,No,Yes,Yes,Mailed check,30.13,1092.45,0,0
CUST-00132,Male,0,Yes,No,6,Two year,No,Yes,No,Yes,Bank transfer,84.89,576.52,0,0
CUST-00133,Female,1,Yes,Yes,40,One year,Fiber optic,No,No,No,Electronic check,29.49,1076.63,3,1
CUST-00134,Female,1,Yes,No,58,Month-to-month,DSL,No,Yes,No,Mailed check,18.0,995.06,4,0
CUST-00135,Male,0,Yes,Yes,22,Month-to-month,DSL,No,Yes,No,Mailed check,87.71,1805.59,1,0
CUST-00136,Male,0,No,Yes,44,Month-to-month,Fiber optic,No,No,No,Electronic check,68.97,2669.48,0,1
CUST-00137,Male,0,Yes,No,2,Month-to-month,No,No,No,No,Bank transfer,76.82,206.94,1,1
CUST-00138,Male,0,Yes,No,25,Two year,Fiber optic,No,No,Yes,Electronic check,53.94,1236.68,3,1
CUST-00139,Male,0,Yes,Yes,31,Month-to-month,Fiber optic,No,Yes,No,Credit card,30.39,956.82,2,1
CUST-00140,Male,0,Yes,No,71,One year,DSL,No internet service,No,Yes,Electronic check,35.36,2265.68,2,1
CUST-00141,Female,0,No,Yes,15,One year,No,Yes,No,Yes,Electronic check,58.2,927.63,1,0
CUST-00142,Female,0,No,Yes,20,One year,DSL,Yes,No,Yes,Mailed check,33.19,643.92,1,0
CUST-00143,Female,0,Yes,No,29,Two year,Fiber optic,Yes,Yes,Yes,Mailed check,72.68,1925.64,0,0
CUST-00144,Male,0,No,Yes,72,Month-to-month,Fiber optic,Yes,Yes,No,Bank transfer,53.44,3544.95,0,0
CUST-00145,Male,0,Yes,Yes,62,Two year,DSL,No,No internet service,No,Bank transfer,69.63,3849.38,1,0
CUST-00146,Female,0,No,Yes,2,One year,DSL,Yes,Yes,Yes,Bank transfer,68.88,201.48,2,0
CUST-00147,Female,0,Yes,No,17,One year,Fiber optic,Yes,No,No,Bank transfer,74.67,1166.64,0,0
CUST-00148,Male,0,Yes,Yes,59,One year,DSL,Yes,No,No,Credit card,77.49,4561.2,4,0
CUST-00149,Male,0,Yes,No,4,Two year,Fiber optic,No,No,No,Bank transfer,56.4,241.64,1,0
CUST-00150,Female,0,No,No,62,Two year,No,No,No internet service,Yes,Electronic check,69.6,3924.14,2,0
CUST-00151,Female,0,Yes,No,20,Month-to-month,DSL,No,No,No,Mailed check,70.9,1296.81,0,1
CUST-00152,Male,0,Yes,Yes,66,Two year,Fiber optic,No internet service,No internet service,No,Bank transfer,18.0,1149.06,3,0
CUST-00153,Male,1,No,No,21,One year,DSL,Yes,Yes,Yes,Mailed check,81.16,1654.91,1,0
CUST-00154,Male,0,No,No,31,Month-to-month,DSL,No,No internet service,Yes,Credit card,68.75,2179.98,2,0
CUST-00155,Male,0,Yes,No,48,Two year,Fiber optic,Yes,Yes,Yes,Mailed check,79.1,3507.41,4,1
CUST-00156,Female,0,Yes,Yes,9,Month-to-month,Fiber optic,No internet service,No internet service,Yes,Mailed check,32.83,281.06,1,0
CUST-00157,Male,0,No,Yes,40,One year,Fiber optic,Yes,No internet service,Yes,Mailed check,57.11,2257.8,0,0
CUST-00158,Female,0,Yes,Yes,36,Month-to-month,DSL,No internet service,No,No,Bank transfer,37.71,1307.26,1,0
CUST-00159,Female,0,Yes,No,57,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,83.62,4724.42,2,1
CUST-00160,Female,0,Yes,No,72,Two year,Fiber optic,No,Yes,No,Mailed check,29.87,1992.81,1,0
CUST-00161,Female,0,No,No,48,Month-to-month,No,No,No,Yes,Electronic check,41.78,1966.82,2,0
CUST-00162,Male,1,No,No,29,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,78.36,2058.5,4,1
CUST-00163,Male,0,No,No,29,Month-to-month,No,Yes,No,No,Mailed check,49.27,1478.0,4,0
CUST-00164,Male,0,No,No,30,Month-to-month,DSL,No internet service,Yes,No,Credit card,41.79,1134.91,1,0
CUST-00165,Female,0,No,Yes,59,Two year,Fiber optic,No,Yes,No,Credit card,87.67,5125.91,2,0
CUST-00166,Male,0,Yes,No,23,Two year,Fiber optic,Yes,Yes,No,Bank transfer,88.69,1877.1,1,0
CUST-00167,Male,0,No,No,12,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,83.05,1044.43,1,1
CUST-00168,Male,0,Yes,No,24,One year,Fiber optic,No,No,No,Bank transfer,86.22,2110.64,0,0
CUST-00169,Male,0,No,Yes,1,Month-to-month,Fiber optic,No,No,No,Electronic check,59.21,116.23,2,0
CUST-00170,Female,0,Yes,No,7,One year,No,No,Yes,Yes,Mailed check,59.89,441.44,2,0
CUST-00171,Female,0,No,Yes,6,Month-to-month,DSL,No,No,Yes,Credit card,48.8,312.33,1,0
CUST-00172,Female,1,No,No,56,Month-to-month,No,Yes,No,No,Bank transfer,69.19,3845.51,2,0
CUST-00173,Male,0,No,No,52,Month-to-month,Fiber optic,No internet service,Yes,Yes,Electronic check,51.8,2572.23,1,0
CUST-00174,Male,0,No,No,50,One year,Fiber optic,Yes,No,Yes,Electronic check,54.17,2605.73,1,0
CUST-00175,Female,0,No,No,33,Month-to-month,Fiber optic,No,No,Yes,Credit card,80.0,2408.32,3,1
CUST-00176,Female,0,Yes,No,52,Month-to-month,DSL,No internet service,No internet service,No,Credit card,94.61,4597.76,1,0
CUST-00177,Male,0,Yes,No,11,Two year,No,No,Yes,Yes,Electronic check,74.96,814.44,2,1
CUST-00178,Male,0,No,No,65,One year,No,No,No,No,Mailed check,109.86,6886.76,1,0
CUST-00179,Female,0,Yes,No,36,Month-to-month,No,No internet service,No internet service,No,Credit card,47.36,1541.12,3,1
CUST-00180,Male,0,Yes,No,68,Two year,No,Yes,No internet service,No,Mailed check,19.05,1197.28,1,0
CUST-00181,Male,0,Yes,Yes,11,Two year,Fiber optic,Yes,No,Yes,Electronic check,82.87,971.88,2,0
CUST-00182,Male,0,No,Yes,36,Month-to-month,Fiber optic,Yes,Yes,No,Mailed check,45.7,1575.86,4,1
CUST-00183,Male,0,No,No,50,One year,No,Yes,No,No,Mailed check,58.16,2919.91,3,0
CUST-00184,Male,0,Yes,No,36,Month-to-month,DSL,No,No,Yes,Mailed check,20.76,679.69,2,0
CUST-00185,Male,0,No,No,32,One year,No,No,Yes,No,Credit card,42.52,1285.27,1,0
CUST-00186,Male,0,No,No,12,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,27.44,329.99,1,0
CUST-00187,Female,0,No,Yes,27,One year,Fiber optic,No,No,No,Bank transfer,54.14,1379.62,2,0
CUST-00188,Male,0,Yes,Yes,17,Month-to-month,Fiber optic,No,Yes,No,Electronic check,55.14,945.55,3,0
CUST-00189,Female,0,No,No,22,Month-to-month,Fiber optic,Yes,No internet service,Yes,Mailed check,67.25,1349.24,2,0
CUST-00190,Male,1,Yes,No,49,Two year,DSL,No,Yes,No,Electronic check,95.99,4453.5,2,0
CUST-00191,Male,1,No,Yes,46,Month-to-month,Fiber optic,No,No internet service,Yes,Electronic check,81.92,3352.85,0,1
CUST-00192,Female,0,No,Yes,44,Two year,Fiber optic,No,No,No,Mailed check,24.45,1039.05,1,1
CUST-00193,Male,0,Yes,No,26,Two year,DSL,No internet service,No internet service,No,Electronic check,80.2,2110.26,1,0
CUST-00194,Male,1,Yes,No,70,Two year,DSL,No internet service,No,Yes,Bank transfer,67.79,4105.56,1,0
CUST-00195,Female,0,Yes,No,6,Month-to-month,Fiber optic,No,Yes,No,Mailed check,62.55,402.18,1,1
CUST-00196,Female,0,Yes,No,25,Two year,DSL,No,Yes,No,Bank transfer,64.43,1547.71,2,0
CUST-00197,Male,0,Yes,Yes,8,Month-to-month,No,No,Yes,Yes,Bank transfer,70.11,604.51,1,0
CUST-00198,Male,0,No,No,24,Month-to-month,DSL,No internet service,No,No,Credit card,47.7,1026.99,1,0
CUST-00199,Male,0,Yes,No,70,Two year,Fiber optic,No,Yes,Yes,Mailed check,60.44,3908.9,3,0
CUST-00200,Male,0,No,No,26,One year,DSL,No,No,Yes,Electronic check,94.6,2472.01,2,0
CUST-00201,Male,0,No,No,66,Month-to-month,Fiber optic,Yes,No internet service,Yes,Credit card,47.4,2952.93,4,0
CUST-00202,Male,0,No,No,36,Month-to-month,Fiber optic,No internet service,No,Yes,Mailed check,39.25,1397.76,1,1
CUST-00203,Male,0,Yes,No,51,Two year,Fiber optic,No,No,Yes,Credit card,63.46,2985.11,2,0
CUST-00204,Female,0,No,Yes,33,One year,Fiber optic,No,No internet service,Yes,Credit card,36.74,1234.19,0,0
CUST-00205,Female,0,No,No,19,Month-to-month,Fiber optic,No internet service,No,No,Credit card,21.93,377.9,0,0
CUST-00206,Female,1,Yes,Yes,55,Two year,DSL,No,Yes,Yes,Bank transfer,56.39,2727.35,0,0
CUST-00207,Male,1,Yes,Yes,70,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,101.22,6678.33,1,0
CUST-00208,Female,0,No,No,19,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,64.03,1178.95,0,1
CUST-00209,Male,0,Yes,No,56,One year,Fiber optic,No,Yes,Yes,Mailed check,69.46,3744.51,4,0
CUST-00210,Male,0,Yes,Yes,19,Two year,Fiber optic,No,No,No,Credit card,18.0,318.37,2,0
CUST-00211,Male,0,Yes,Yes,52,Month-to-month,Fiber optic,No,No internet service,Yes,Bank transfer,75.95,3558.02,2,1
CUST-00212,Male,0,No,No,57,Month-to-month,Fiber optic,No,No,Yes,Electronic check,67.33,3758.18,0,1
CUST-00213,Male,0,No,No,32,Month-to-month,DSL,No,Yes,No,Mailed check,48.38,1426.93,1,0
CUST-00214,Male,0,No,No,53,Two year,DSL,Yes,Yes,Yes,Credit card,69.5,3599.48,1,0
CUST-00215,Female,0,Yes,Yes,19,Month-to-month,DSL,Yes,No internet service,Yes,Electronic check,69.25,1310.36,0,0
CUST-00216,Male,1,No,No,5,Month-to-month,Fiber optic,Yes,Yes,No,Mailed check,38.51,199.29,4,1
CUST-00217,Male,0,Yes,No,7,Two year,No,No internet service,Yes,Yes,Credit card,73.3,560.99,0,0
CUST-00218,Female,0,No,Yes,32,Month-to-month,Fiber optic,Yes,No,No,Mailed check,94.93,3076.07,1,1
CUST-00219,Female,0,No,No,65,One year,Fiber optic,Yes,No,Yes,Bank transfer,59.3,3806.16,2,0
CUST-00220,Male,0,No,Yes,9,Month-to-month,DSL,No,No,Yes,Credit card,43.31,368.71,2,1
CUST-00221,Female,1,No,Yes,33,Two year,No,No,No,Yes,Mailed check,60.56,1916.88,2,0
CUST-00222,Male,0,No,No,51,Month-to-month,DSL,No,No,Yes,Credit card,86.37,4432.86,3,1
CUST-00223,Male,0,Yes,No,14,Month-to-month,Fiber optic,No,Yes,No,Mailed check,34.34,484.1,1,1
CUST-00224,Female,0,Yes,No,52,Month-to-month,No,No,No,No,Mailed check,79.46,3763.07,0,1
CUST-00225,Female,0,No,No,22,One year,Fiber optic,No,No,No,Electronic check,48.05,971.63,2,0
CUST-00226,Female,0,Yes,No,59,One year,DSL,No internet service,No,Yes,Mailed check,71.05,4061.54,1,0
CUST-00227,Male,0,Yes,No,42,Month-to-month,DSL,No,No internet service,No,Bank transfer,50.89,2113.19,1,0
CUST-00228,Male,0,Yes,No,39,Month-to-month,Fiber optic,No,Yes,No,Electronic check,50.82,2006.15,3,1
CUST-00229,Male,0,No,Yes,12,Two year,DSL,Yes,No,Yes,Mailed check,103.08,1321.09,3,1
CUST-00230,Male,1,No,Yes,33,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,29.77,911.86,3,1
CUST-00231,Female,0,Yes,No,62,Month-to-month,Fiber optic,No internet service,No,Yes,Credit card,77.13,4570.46,3,0
CUST-00232,Male,0,No,Yes,1,One year,DSL,Yes,Yes,Yes,Bank transfer,108.28,187.37,0,0
CUST-00233,Male,0,Yes,No,55,Month-to-month,DSL,No,No,Yes,Bank transfer,82.14,3975.04,3,0
CUST-00234,Female,0,No,No,35,Month-to-month,No,No,No internet service,Yes,Bank transfer,31.72,982.87,2,0
CUST-00235,Female,0,Yes,No,52,Month-to-month,Fiber optic,No internet service,No,No,Mailed check,32.96,1727.79,2,1
CUST-00236,Female,0,No,No,48,Month-to-month,Fiber optic,Yes,Yes,Yes,Mailed check,46.21,1976.42,2,0
